dataset,response_label,group,model_series,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_income,income,PH2M,cP,32,-0.0020986650779521,-0.0121079158956598,0.0079105857397556,0.0078032329793046,-0.0017949606039415,-0.02069138361618033,-0.01859271853822823,False,True
lp_income,income,PH2M,cP,33,-0.0020884164584172,-0.0204346361516115,0.0162578032347771,0.0078032329793046,-0.0017928717174958,-0.02066730400647541,-0.018578887548058212,False,True
lp_income,income,PH2M,cP,34,0.005570516733711,-0.0098464447031383,0.0209874781705604,0.0078032329793046,-0.00179079695454,-0.0206433872051056,-0.026213903938816598,False,False
lp_income,income,PH2M,cP,35,-0.0022666204062167,-0.011228546436593,0.0066953056241595,0.0078032329793046,-0.0017886977271182,-0.02061918838994125,-0.01835256798372455,False,True
lp_income,income,PH2M,cP,36,0.004024107454117,-0.0092100517096993,0.0172582666179334,0.0078032329793046,-0.0017865208614225,-0.020594094600644857,-0.024618202054761857,False,False
lp_income,income,PH2M,cP,37,0.0264941342487685,0.0139307942574547,0.0390574742400822,0.0078032329793046,-0.0017841928479314,-0.020567258457220752,-0.047061392705989254,False,False
lp_income,income,PH2M,cP,38,0.0006411779396640329,-0.0109285676385357,0.0122109235178638,0.0078032329793046,-0.0017816131137208,-0.020537520606672893,-0.021178698546336926,False,False
lp_income,income,PH2M,cP,39,0.0056452012771022,-0.0077999583354443,0.0190903608896489,0.0078032329793046,-0.0017786479982219,-0.020503340278637115,-0.026148541555739317,False,False
lp_income,income,PH2M,cP,40,0.0274933807845556,0.0132168925856938,0.0417698689834174,0.0078032329793046,-0.0017751304671348,-0.02046279198752409,-0.04795617277207969,False,False
lp_income,income,PH2M,cP,41,-0.003256755176856,-0.028626571738988,0.022113061385276,0.0078032329793046,-0.0017708785158514,-0.020413777677723115,-0.017157022500867116,True,True
lp_income,income,PH2M,cP,42,0.0008440405870955058,-0.0083663719112487,0.0100544530854397,0.0078032329793046,-0.0017657631130594,-0.020354809942560496,-0.021198850529656,False,False
lp_income,income,PH2M,cP,43,0.0116226861895343,-0.0026950049656712,0.02594037734474,0.0078032329793046,-0.0017598949580877,-0.02028716486702401,-0.03190985105655831,False,False
lp_income,income,PH2M,cP,44,-0.0016238705230995,-0.0211865758235553,0.0179388347773563,0.0078032329793046,-0.0017540725598478,-0.020220047251582534,-0.018596176728483033,True,True
lp_income,income,PH2M,cP,45,0.0022292115006352,-0.0140643694426009,0.0185227924438714,0.0078032329793046,-0.0017507172294581,-0.020181368726772658,-0.022410580227407856,False,False
lp_income,income,PH2M,cP,46,0.0100634119534995,-0.0026553637120252,0.0227821876190243,0.0078032329793046,-0.0017552005753502,-0.02023305043473536,-0.03029646238823486,False,False
lp_income,income,PH2M,cP,47,0.0020025580022742,-0.0095554145940126,0.0135605305985612,0.0078032329793046,-0.0017735597542285,-0.020444685616150943,-0.022447243618425143,False,False
lp_income,income,WH2M,cW,0,-0.0066295712547564,-0.0278914947814166,0.0146323522719038,0.0091442313928424,-0.0023343525167253,-0.031533609532566315,-0.024904038277809914,False,True
lp_income,income,WH2M,cW,1,0.0118435579633652,-0.0014963585809583,0.0251834745076888,0.0091442313928424,-0.0023063701231923,-0.03115560926691061,-0.04299916723027581,False,False
lp_income,income,WH2M,cW,2,-0.0011629452923594,-0.0204680479146519,0.0181421573299329,0.0091442313928424,-0.0027215241890357,-0.036763719487781614,-0.035600774195422215,False,True
